date,product,date,price,variety
2001-03-09,beef,2001-03-09,"291,33",unknown
2001-03-12,rice,2001-03-12,280.97,unknown
2001-03-12,dairy,2001-03-12,259.04,unknown
2001-03-12,pigmeat,2001-03-12,"139,96",unknown
2001-03-12,dairy,2001-03-12,655.62,unknown
2001-03-12,dairy,2001-03-12,549.87,unknown
2001-03-12,pigmeat,2001-03-12,"139,96",unknown
2001-03-12,beef,2001-03-12,"277,34",unknown
2001-03-12,beef,2001-03-12,"140,61",unknown
2001-03-12,rice,2001-03-12,274.18,unknown
2001-03-12,pigmeat,2001-03-12,"42,92",unknown
2001-03-12,dairy,2001-03-12,282.48,unknown
2001-03-12,beef,2001-03-12,"323,37",unknown
2001-03-19,beef,2001-03-19,"210,35",unknown
2001-03-19,dairy,2001-03-19,653.26,unknown
2001-03-19,dairy,2001-03-19,545.97,unknown
2001-03-19,beef,2001-03-19,"213,60",unknown
2001-03-19,beef,2001-03-19,"132,99",unknown
2001-03-19,dairy,2001-03-19,259.04,unknown
2001-03-19,dairy,2001-03-19,289.09,unknown
2001-03-19,rice,2001-03-19,510.86,unknown
2001-03-19,rice,2001-03-19,299.00,unknown
2001-03-19,pigmeat,2001-03-19,"203,76",unknown
2001-03-19,pigmeat,2001-03-19,"203,76",unknown
2001-03-19,pigmeat,2001-03-19,"66,83",unknown
2001-03-19,rice,2001-03-19,321.81,unknown
2001-03-26,beef,2001-03-26,"141,59",unknown
2001-03-26,pigmeat,2001-03-26,"63,84",unknown
2001-03-26,pigmeat,2001-03-26,"200,02",unknown
2001-03-26,beef,2001-03-26,"204,55",unknown
2001-03-26,pigmeat,2001-03-26,"200,02",unknown
2001-03-26,dairy,2001-03-26,259.04,unknown
2001-03-26,dairy,2001-03-26,292.69,unknown
2001-03-26,dairy,2001-03-26,653.26,unknown
2001-03-26,dairy,2001-03-26,545.97,unknown
2001-03-26,rice,2001-03-26,321.81,unknown
2001-03-26,rice,2001-03-26,510.86,unknown
2001-03-26,rice,2001-03-26,298.28,unknown
2001-03-26,beef,2001-03-26,"212,93",unknown
2001-04-06,dairy,2001-04-06,653.73,unknown
2001-04-06,dairy,2001-04-06,297.63,unknown
2001-04-06,rice,2001-04-06,327.49,unknown
2001-04-06,dairy,2001-04-06,259.04,unknown
2001-04-06,pigmeat,2001-04-06,"52,99",unknown
2001-04-06,beef,2001-04-06,"249,76",unknown
2001-04-06,dairy,2001-04-06,546.06,unknown
2001-04-06,beef,2001-04-06,"149,52",unknown
2001-04-06,pigmeat,2001-04-06,"197,61",unknown
2001-04-06,pigmeat,2001-04-06,"197,61",unknown
2001-04-06,beef,2001-04-06,"237,54",unknown
2001-04-06,rice,2001-04-06,540.91,unknown
2001-04-16,pigmeat,2001-04-16,"191,95",unknown
2001-04-16,beef,2001-04-16,"227,72",unknown
2001-04-16,pigmeat,2001-04-16,"191,95",unknown
2001-04-16,dairy,2001-04-16,545.97,unknown
2001-04-16,rice,2001-04-16,298.28,unknown
2001-04-16,rice,2001-04-16,510.86,unknown
2001-04-16,beef,2001-04-16,"140,28",unknown
2001-04-16,rice,2001-04-16,321.81,unknown
2001-04-16,dairy,2001-04-16,259.04,unknown
2001-04-16,dairy,2001-04-16,295.70,unknown
2001-04-16,dairy,2001-04-16,653.26,unknown
2001-04-16,pigmeat,2001-04-16,"57,40",unknown
2001-04-16,beef,2001-04-16,"226,15",unknown
2001-04-23,pigmeat,2001-04-23,"198,81",unknown
2001-04-23,pigmeat,2001-04-23,"198,81",unknown
2001-04-23,pigmeat,2001-04-23,"63,08",unknown
2001-04-23,dairy,2001-04-23,259.04,unknown
2001-04-23,dairy,2001-04-23,653.26,unknown
2001-04-23,rice,2001-04-23,298.28,unknown
2001-04-23,rice,2001-04-23,342.52,unknown
2001-04-23,dairy,2001-04-23,294.50,unknown
2001-04-23,beef,2001-04-23,"145,64",unknown
2001-04-23,beef,2001-04-23,"238,66",unknown
2001-04-23,rice,2001-04-23,510.86,unknown
2001-04-23,beef,2001-04-23,"232,81",unknown
2001-04-23,dairy,2001-04-23,545.97,unknown
2001-04-30,pigmeat,2001-04-30,"199,13",unknown
2001-04-30,rice,2001-04-30,342.52,unknown
2001-04-30,rice,2001-04-30,510.86,unknown
2001-04-30,pigmeat,2001-04-30,"199,13",unknown
2001-04-30,rice,2001-04-30,298.28,unknown
2001-04-30,beef,2001-04-30,"243,97",unknown
2001-04-30,beef,2001-04-30,"144,62",unknown
2001-04-30,beef,2001-04-30,"232,22",unknown
2001-04-30,pigmeat,2001-04-30,"67,77",unknown
2001-05-02,dairy,2001-05-02,287.33,unknown
2001-05-02,dairy,2001-05-02,538.42,unknown
2001-05-02,pigmeat,2001-05-02,"172,53",unknown
2001-05-02,pigmeat,2001-05-02,"172,53",unknown
2001-05-02,pigmeat,2001-05-02,"58,96",unknown
2001-05-02,rice,2001-05-02,510.86,unknown
2001-05-02,dairy,2001-05-02,259.04,unknown
2001-05-02,rice,2001-05-02,324.48,unknown
2001-05-02,beef,2001-05-02,"211,35",unknown
2001-05-02,beef,2001-05-02,"110,20",unknown
2001-05-02,beef,2001-05-02,"229,47",unknown
2001-05-02,rice,2001-05-02,291.49,unknown
2001-05-02,dairy,2001-05-02,648.52,unknown
2001-05-03,beef,2001-05-03,"120,32",unknown
2001-05-03,beef,2001-05-03,"208,13",unknown
2001-05-03,rice,2001-05-03,295.99,unknown
2001-05-03,pigmeat,2001-05-03,"65,69",unknown
2001-05-03,pigmeat,2001-05-03,"209,08",unknown
2001-05-03,beef,2001-05-03,"202,33",unknown
2001-05-03,rice,2001-05-03,321.81,unknown
2001-05-03,rice,2001-05-03,510.86,unknown
2001-05-03,dairy,2001-05-03,545.97,unknown
2001-05-03,dairy,2001-05-03,653.26,unknown
2001-05-03,dairy,2001-05-03,290.05,unknown
2001-05-03,dairy,2001-05-03,259.08,unknown
2001-05-03,pigmeat,2001-05-03,"209,08",unknown
2001-05-11,beef,2001-05-11,"310,02",unknown
2001-05-11,dairy,2001-05-11,297.50,unknown
2001-05-11,beef,2001-05-11,"249,70",unknown
2001-05-11,dairy,2001-05-11,549.87,unknown
2001-05-11,dairy,2001-05-11,259.04,unknown
2001-05-11,dairy,2001-05-11,655.62,unknown
2001-05-11,rice,2001-05-11,280.94,unknown
2001-05-11,beef,2001-05-11,"137,93",unknown
2001-05-11,rice,2001-05-11,277.19,unknown
2001-05-11,pigmeat,2001-05-11,"129,69",unknown
2001-05-11,pigmeat,2001-05-11,"31,42",unknown
2001-05-11,pigmeat,2001-05-11,"129,69",unknown
2001-05-14,dairy,2001-05-14,300.51,unknown
2001-05-14,beef,2001-05-14,"261,34",unknown
2001-05-14,pigmeat,2001-05-14,"64,66",unknown
2001-05-14,pigmeat,2001-05-14,"207,42",unknown
2001-05-14,rice,2001-05-14,294.50,unknown
2001-05-14,pigmeat,2001-05-14,"207,42",unknown
2001-05-14,beef,2001-05-14,"142,96",unknown
2001-05-14,dairy,2001-05-14,653.73,unknown
2001-05-14,dairy,2001-05-14,259.04,unknown
2001-05-14,rice,2001-05-14,342.52,unknown
2001-05-14,beef,2001-05-14,"241,13",unknown
2001-05-14,rice,2001-05-14,510.86,unknown
2001-05-14,dairy,2001-05-14,546.00,unknown
2001-05-21,pigmeat,2001-05-21,"212,18",unknown
2001-05-21,beef,2001-05-21,"259,43",unknown
2001-05-21,beef,2001-05-21,"146,30",unknown
2001-05-21,beef,2001-05-21,"242,17",unknown
2001-05-21,dairy,2001-05-21,259.04,unknown
2001-05-21,dairy,2001-05-21,546.02,unknown
2001-05-21,dairy,2001-05-21,653.73,unknown
2001-05-21,dairy,2001-05-21,296.30,unknown
2001-05-21,pigmeat,2001-05-21,"212,18",unknown
2001-05-21,pigmeat,2001-05-21,"60,25",unknown
2001-05-28,beef,2001-05-28,"147,96",unknown
2001-05-28,beef,2001-05-28,"241,13",unknown
2001-05-28,rice,2001-05-28,294.50,unknown
2001-05-28,rice,2001-05-28,540.91,unknown
2001-05-28,beef,2001-05-28,"257,89",unknown
2001-05-28,pigmeat,2001-05-28,"57,87",unknown
2001-05-28,pigmeat,2001-05-28,"207,11",unknown
2001-05-28,rice,2001-05-28,327.49,unknown
2001-05-28,pigmeat,2001-05-28,"207,11",unknown
2001-06-08,pigmeat,2001-06-08,"185,42",unknown
2001-06-08,dairy,2001-06-08,546.08,unknown
2001-06-08,beef,2001-06-08,"275,08",unknown
2001-06-08,dairy,2001-06-08,307.21,unknown
2001-06-08,pigmeat,2001-06-08,"185,42",unknown
2001-06-08,dairy,2001-06-08,259.04,unknown
2001-06-08,pigmeat,2001-06-08,"44,47",unknown
2001-06-08,beef,2001-06-08,"239,26",unknown
2001-06-08,beef,2001-06-08,"145,12",unknown
2001-06-08,dairy,2001-06-08,655.62,unknown
2001-06-18,beef,2001-06-18,"237,03",unknown
2001-06-18,beef,2001-06-18,"147,86",unknown
2001-06-18,rice,2001-06-18,540.91,unknown
2001-06-18,beef,2001-06-18,"263,74",unknown
2001-06-18,dairy,2001-06-18,653.77,unknown
2001-06-18,dairy,2001-06-18,546.10,unknown
2001-06-18,dairy,2001-06-18,303.56,unknown
2001-06-18,dairy,2001-06-18,259.08,unknown
2001-06-18,pigmeat,2001-06-18,"46,95",unknown
2001-06-18,rice,2001-06-18,304.95,unknown
2001-06-18,pigmeat,2001-06-18,"199,28",unknown
2001-06-18,pigmeat,2001-06-18,"199,28",unknown
2001-06-25,rice,2001-06-25,540.91,unknown
2001-06-25,beef,2001-06-25,"236,08",unknown
2001-06-25,beef,2001-06-25,"248,92",unknown
2001-06-25,dairy,2001-06-25,546.06,unknown
2001-06-25,pigmeat,2001-06-25,"198,88",unknown
2001-06-25,dairy,2001-06-25,301.11,unknown
2001-06-25,dairy,2001-06-25,259.04,unknown
2001-06-25,beef,2001-06-25,"151,15",unknown
2001-06-25,rice,2001-06-25,304.95,unknown
2001-06-25,pigmeat,2001-06-25,"198,88",unknown
2001-06-25,pigmeat,2001-06-25,"45,06",unknown
2001-06-25,dairy,2001-06-25,653.73,unknown
2001-07-05,rice,2001-07-05,294.50,unknown
2001-07-05,pigmeat,2001-07-05,"202,06",unknown
2001-07-05,rice,2001-07-05,342.52,unknown
2001-07-05,rice,2001-07-05,510.86,unknown
2001-07-05,dairy,2001-07-05,295.40,unknown
2001-07-05,dairy,2001-07-05,653.73,unknown
2001-07-05,dairy,2001-07-05,546.00,unknown
2001-07-05,dairy,2001-07-05,259.04,unknown
2001-07-05,pigmeat,2001-07-05,"68,73",unknown
2001-07-05,beef,2001-07-05,"233,91",unknown
2001-07-05,pigmeat,2001-07-05,"202,06",unknown
2001-07-05,beef,2001-07-05,"146,15",unknown
2001-07-05,beef,2001-07-05,"251,34",unknown
2001-07-16,pigmeat,2001-07-16,"186,67",unknown
2001-07-16,dairy,2001-07-16,546.08,unknown
2001-07-16,rice,2001-07-16,301.95,unknown
2001-07-16,beef,2001-07-16,"232,45",unknown
2001-07-16,dairy,2001-07-16,655.62,unknown
2001-07-16,beef,2001-07-16,"257,79",unknown
2001-07-16,pigmeat,2001-07-16,"39,47",unknown
2001-07-16,pigmeat,2001-07-16,"186,67",unknown
2001-07-16,beef,2001-07-16,"145,20",unknown
2001-07-16,dairy,2001-07-16,307.76,unknown
2001-07-16,dairy,2001-07-16,259.04,unknown
2001-07-23,beef,2001-07-23,"141,01",unknown
2001-07-23,pigmeat,2001-07-23,"38,36",unknown
2001-07-23,beef,2001-07-23,"233,86",unknown
2001-07-23,pigmeat,2001-07-23,"183,51",unknown
2001-07-23,dairy,2001-07-23,317.09,unknown
2001-07-23,dairy,2001-07-23,655.62,unknown
2001-07-23,dairy,2001-07-23,259.04,unknown
2001-07-23,rice,2001-07-23,301.95,unknown
2001-07-23,dairy,2001-07-23,546.08,unknown
2001-07-23,beef,2001-07-23,"268,78",unknown
2001-07-23,pigmeat,2001-07-23,"183,51",unknown
2001-07-30,pigmeat,2001-07-30,"40,31",unknown
2001-07-30,beef,2001-07-30,"143,17",unknown
2001-07-30,pigmeat,2001-07-30,"185,85",unknown
2001-07-30,rice,2001-07-30,301.95,unknown
2001-07-30,beef,2001-07-30,"271,74",unknown
2001-07-30,beef,2001-07-30,"235,98",unknown
2001-07-30,pigmeat,2001-07-30,"185,85",unknown
2001-08-01,dairy,2001-08-01,301.91,unknown
2001-08-01,dairy,2001-08-01,538.41,unknown
2001-08-01,dairy,2001-08-01,648.06,unknown
2001-08-01,pigmeat,2001-08-01,"160,34",unknown
2001-08-01,pigmeat,2001-08-01,"160,34",unknown
2001-08-01,pigmeat,2001-08-01,"54,55",unknown
2001-08-01,rice,2001-08-01,283.98,unknown
2001-08-01,beef,2001-08-01,"230,21",unknown
2001-08-01,dairy,2001-08-01,228.38,unknown
