price,product,supermarket,link,name
19.08,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Filetes de caballa del sur en aceite de girasol Ubago 65 g
25.29,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Filetes de melva en aceite de girasol Ubago 85 g
21.0,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=2,Filetes de caballa de Andalucía en aceite de girasol Tejero 80 g
1.45,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Carrefour 1 l
1.39,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Carrefour garrafa 5 l
2.19,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Coosol 1 l
2.39,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Koipesol 1 l
2.49,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol fritos Koipe 1 l
1.63,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Carrefour garrafa 5 l
1.75,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Carrefour 1 l
2.38,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Koipesol garrafa 5 l
12.47,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite refinado de girasol Koipe spray 150 ml
1.68,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Fontasol 5 l
2.06,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Capicua garrafa 5 l
2.09,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Aceite de girasol Fontasol 1 l
9.58,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Atún en aceite de girasol pack de 6 latas de 52 g
8.08,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Atún en aceite de girasol 650 g
9.96,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Atún en aceite de girasol 260 g
8.46,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Sardinillas en aceite de girasol Carrefour pack de 2 unidades de 65 g
23.09,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Anchoas en aceite de girasol Caprimar 55 g
9.29,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Sardinillas en aceite de girasol con limón Carrefour pack de 2 unidades de 63 g
13.41,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Sardinas en aceite de girasol Carrefour pack de 2 latas de 88 g
15.97,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Sardinillas en aceite de girasol Cabo de Peñas 62 g
10.91,aceite de girasol,carrefour,https://www.carrefour.es/?q=aceite de girasol&page=3,Atún en aceite de girasol 143 g
