ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-02-22,394.30910334041886,336.51242686781745,464.8710135327997,394.30910334041886,394.30910334041886,5.413702782252689,5.413702782252689,5.413702782252689,5.413702782252689,5.413702782252689,5.413702782252689,0.0,0.0,0.0,399.72280612267156
2021-03-05,398.29256958945695,332.38795560344806,468.0997459061708,398.29256958945695,398.29256958945695,4.240340160876224,4.240340160876224,4.240340160876224,4.240340160876224,4.240340160876224,4.240340160876224,0.0,0.0,0.0,402.53290975033315
2021-03-15,401.9139025431279,341.9191064999582,471.9483988444585,401.9139025431279,401.9139025431279,5.4137027822792865,5.4137027822792865,5.4137027822792865,5.4137027822792865,5.4137027822792865,5.4137027822792865,0.0,0.0,0.0,407.3276053254072
2021-03-22,404.44883561170565,348.68651344621554,476.88590602912274,404.44883561170565,404.44883561170565,5.413702782416551,5.413702782416551,5.413702782416551,5.413702782416551,5.413702782416551,5.413702782416551,0.0,0.0,0.0,409.8625383941222
2021-03-29,406.98376868037735,349.3255118779331,476.9901264306107,406.98376868037735,406.98376868037735,5.413702782305138,5.413702782305138,5.413702782305138,5.413702782305138,5.413702782305138,5.413702782305138,0.0,0.0,0.0,412.3974714626825
2021-04-01,408.0701685669509,311.6580479393198,439.9913677431558,408.0701685669509,408.0701685669509,-31.52633783457015,-31.52633783457015,-31.52633783457015,-31.52633783457015,-31.52633783457015,-31.52633783457015,0.0,0.0,0.0,376.54383073238074
2021-04-10,411.32936823007344,384.39316207762226,506.46047299307605,411.32936823007344,411.32936823007344,36.065710121292376,36.065710121292376,36.065710121292376,36.065710121292376,36.065710121292376,36.065710121292376,0.0,0.0,0.0,447.39507835136584
2021-04-19,414.58856789319606,355.96060392616306,483.98038258779576,414.58856789319606,414.58856789319606,5.413702782195208,5.413702782195208,5.413702782195208,5.413702782195208,5.413702782195208,5.413702782195208,0.0,0.0,0.0,420.0022706753913
2021-04-26,417.1235009664528,360.79893705090046,488.90155499884185,417.1235009664528,417.1235009664528,5.413702782195953,5.413702782195953,5.413702782195953,5.413702782195953,5.413702782195953,5.413702782195953,0.0,0.0,0.0,422.5372037486488
2021-05-04,420.0205673358924,303.53868317873844,430.28653903537815,420.0205673358924,420.0205673358924,-51.233648824195654,-51.233648824195654,-51.233648824195654,-51.233648824195654,-51.233648824195654,-51.233648824195654,0.0,0.0,0.0,368.78691851169674
2021-05-07,421.10696722443225,361.77208843860313,486.3944074286069,421.10696722443225,421.10696722443225,4.240340160944988,4.240340160944988,4.240340160944988,4.240340160944988,4.240340160944988,4.240340160944988,0.0,0.0,0.0,425.34730738537723
2021-05-17,424.72830019031363,366.0338657666649,494.32156810357327,424.72830019031363,424.72830019031363,5.413702782222539,5.413702782222539,5.413702782222539,5.413702782222539,5.413702782222539,5.413702782222539,0.0,0.0,0.0,430.14200297253615
2021-05-24,427.2632332664307,366.5953412107527,491.85380977393083,427.2632332664307,427.2632332664307,5.413702782335442,5.413702782335442,5.413702782335442,5.413702782335442,5.413702782335442,5.413702782335442,0.0,0.0,0.0,432.67693604876615
2021-05-31,429.7981663423003,373.41388434443354,498.9628798249259,429.7981663423003,429.7981663423003,5.413702782224029,5.413702782224029,5.413702782224029,5.413702782224029,5.413702782224029,5.413702782224029,0.0,0.0,0.0,435.21186912452436
2021-06-09,433.05736600991304,395.64053552441163,521.0111789097223,433.05736600991304,433.05736600991304,25.802897828708076,25.802897828708076,25.802897828708076,25.802897828708076,25.802897828708076,25.802897828708076,0.0,0.0,0.0,458.8602638386211
2021-06-12,434.1437658991173,406.54530898119134,537.2468162957061,434.1437658991173,434.1437658991173,36.065710121260736,36.065710121260736,36.065710121260736,36.065710121260736,36.065710121260736,36.065710121260736,0.0,0.0,0.0,470.209476020378
2021-06-14,434.8680324918068,378.02490210794736,501.14102248305454,434.8680324918068,434.8680324918068,5.413702782225513,5.413702782225513,5.413702782225513,5.413702782225513,5.413702782225513,5.413702782225513,0.0,0.0,0.0,440.2817352740323
2021-06-21,437.40296556622013,377.77297613141843,505.8084750393096,437.40296556622013,437.40296556622013,5.413702782226258,5.413702782226258,5.413702782226258,5.413702782226258,5.413702782226258,5.413702782226258,0.0,0.0,0.0,442.8166683484464
2021-06-28,439.93789864236726,381.87120145507515,512.5348744143346,439.93789864236726,439.93789864236726,5.4137027822513675,5.4137027822513675,5.4137027822513675,5.4137027822513675,5.4137027822513675,5.4137027822513675,0.0,0.0,0.0,445.35160142461865
2021-07-06,442.83496503241616,330.57394056146376,452.97582500961715,442.83496503241616,442.83496503241616,-51.2336488242299,-51.2336488242299,-51.2336488242299,-51.2336488242299,-51.2336488242299,-51.2336488242299,0.0,0.0,0.0,391.6013162081863
2021-07-19,447.5426979162455,386.3505861695509,517.2055127548741,447.5426979162455,447.5426979162455,5.413702782390115,5.413702782390115,5.413702782390115,5.413702782390115,5.413702782390115,5.413702782390115,0.0,0.0,0.0,452.9564006986356
2021-07-26,450.077839843346,389.0599785062939,521.1842805725541,450.077839843346,450.077839843346,5.413702782278702,5.413702782278702,5.413702782278702,5.413702782278702,5.413702782278702,5.413702782278702,0.0,0.0,0.0,455.4915426256247
2021-08-02,452.61298177044654,398.2478495984507,525.4704414074644,452.61298177044654,452.61298177044654,5.413702782391594,5.413702782391594,5.413702782391594,5.413702782391594,5.413702782391594,5.413702782391594,0.0,0.0,0.0,458.0266845528381
2021-08-03,452.9752066640706,339.68217714678997,468.651488112287,452.9752066640706,452.9752066640706,-51.23364882416208,-51.23364882416208,-51.23364882416208,-51.23364882416208,-51.23364882416208,-51.23364882416208,0.0,0.0,0.0,401.7415578399085
2021-08-11,455.8730857848632,414.29402346205876,555.4557668746736,455.8730857848632,455.8730857848632,25.802897828721576,25.802897828721576,25.802897828721576,25.802897828721576,25.802897828721576,25.802897828721576,0.0,0.0,0.0,481.6759836135848
2021-08-16,457.6842602353585,398.380690995235,524.6435386459672,457.6842602353585,457.6842602353585,5.413702782168772,5.413702782168772,5.413702782168772,5.413702782168772,5.413702782168772,5.413702782168772,0.0,0.0,0.0,463.0979630175273
2021-08-23,460.21990448702655,403.45012329502214,527.7721727988321,460.21990448702655,460.21990448702655,5.413702782281672,5.413702782281672,5.413702782281672,5.413702782281672,5.413702782281672,5.413702782281672,0.0,0.0,0.0,465.63360726930824
2021-08-30,462.7555488419433,405.3675076582739,527.3928409183334,462.7555488419433,462.7555488419433,5.4137027821702555,5.4137027821702555,5.4137027821702555,5.4137027821702555,5.4137027821702555,5.4137027821702555,0.0,0.0,0.0,468.1692516241136
2021-09-08,466.0156630125505,428.05113142471004,556.5591705317457,466.0156630125505,466.0156630125505,25.802897828720543,25.802897828720543,25.802897828720543,25.802897828720543,25.802897828720543,25.802897828720543,0.0,0.0,0.0,491.818560841271
2021-09-13,467.8268375642333,416.3080657295852,537.4574765954309,467.8268375642333,467.8268375642333,5.413702782196107,5.413702782196107,5.413702782196107,5.413702782196107,5.413702782196107,5.413702782196107,0.0,0.0,0.0,473.2405403464294
2021-09-20,470.36248193658923,410.7744362925583,538.8061534896185,470.36248193658923,470.36248193658923,5.413702782309007,5.413702782309007,5.413702782309007,5.413702782309007,5.413702782309007,5.413702782309007,0.0,0.0,0.0,475.77618471889826
2021-09-27,472.8981263121486,408.73502341563835,536.7270141530856,472.8981263121486,472.8981263121486,5.41370278219759,5.41370278219759,5.41370278219759,5.41370278219759,5.41370278219759,5.41370278219759,0.0,0.0,0.0,478.3118290943462
2021-10-05,475.7960055985237,360.6138303654996,487.91608769760154,475.7960055985237,475.7960055985237,-51.23364882419633,-51.23364882419633,-51.23364882419633,-51.23364882419633,-51.23364882419633,-51.23364882419633,0.0,0.0,0.0,424.5623567743274
2021-10-18,480.5050594388834,419.17544871627047,553.1691209261147,480.5050594388834,480.5050594388834,5.413702782336345,5.413702782336345,5.413702782336345,5.413702782336345,5.413702782336345,5.413702782336345,0.0,0.0,0.0,485.91876222121977
2021-10-25,483.0407038154625,425.2825047365269,552.1170642846976,483.0407038154625,483.0407038154625,5.413702782224933,5.413702782224933,5.413702782224933,5.413702782224933,5.413702782224933,5.413702782224933,0.0,0.0,0.0,488.45440659768747
2021-11-01,485.5763481920417,425.0413329042295,554.3101606880539,485.5763481920417,485.5763481920417,5.413702782337828,5.413702782337828,5.413702782337828,5.413702782337828,5.413702782337828,5.413702782337828,0.0,0.0,0.0,490.9900509743795
2021-11-10,488.8364623905006,448.36286967903067,575.9202638543117,488.8364623905006,488.8364623905006,25.80289782870737,25.80289782870737,25.80289782870737,25.80289782870737,25.80289782870737,25.80289782870737,0.0,0.0,0.0,514.639360219208
