ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2019-07-22,208.4648857563132,162.11613618348207,244.2602089415288,208.4648857563132,208.4648857563132,-4.142767990900819,-4.142767990900819,-4.142767990900819,-4.491940101383517,-4.491940101383517,-4.491940101383517,0.3491721104826978,0.3491721104826978,0.3491721104826978,0.0,0.0,0.0,204.3221177654124
2019-07-29,207.51715026107166,166.06670976547662,251.22836125625048,207.51715026107166,207.51715026107166,-0.006943790454859023,-0.006943790454859023,-0.006943790454859023,-4.491940101386096,-4.491940101386096,-4.491940101386096,4.484996310931236,4.484996310931236,4.484996310931236,0.0,0.0,0.0,207.5102064706168
2019-08-04,206.7048055508645,177.49559876532126,263.5078465394428,206.7048055508645,206.7048055508645,12.918958688719124,12.918958688719124,12.918958688719124,5.341576165386382,5.341576165386382,5.341576165386382,7.5773825233327425,7.5773825233327425,7.5773825233327425,0.0,0.0,0.0,219.62376423958364
2019-08-07,206.29863319576094,186.79812642718585,269.734459233342,206.29863319576094,206.29863319576094,22.299275596102486,22.299275596102486,22.299275596102486,13.784721339086929,13.784721339086929,13.784721339086929,8.514554257015561,8.514554257015561,8.514554257015561,0.0,0.0,0.0,228.59790879186343
2019-08-19,207.21873916207375,165.42262103432319,253.08592108898003,207.21873916207375,207.21873916207375,2.0925578751664586,2.0925578751664586,2.0925578751664586,-4.49194010138803,-4.49194010138803,-4.49194010138803,6.584497976554489,6.584497976554489,6.584497976554489,0.0,0.0,0.0,209.3112970372402
2019-08-26,207.75546764242296,162.14970375733546,246.43328429072386,207.75546764242296,207.75546764242296,-1.2656983431414945,-1.2656983431414945,-1.2656983431414945,-4.491940101387708,-4.491940101387708,-4.491940101387708,3.226241758246213,3.226241758246213,3.226241758246213,0.0,0.0,0.0,206.48976929928145
2019-09-09,208.8289246031213,163.86944995107444,248.977309223983,208.8289246031213,208.8289246031213,-1.8039754597410345,-1.8039754597410345,-1.8039754597410345,-4.491940101387064,-4.491940101387064,-4.491940101387064,2.6879646416460288,2.6879646416460288,2.6879646416460288,0.0,0.0,0.0,207.02494914338027
2019-09-12,209.0589510946995,158.04747532999914,242.20818462477672,209.0589510946995,209.0589510946995,-7.738398075974174,-7.738398075974174,-7.738398075974174,-11.452919957286479,-11.452919957286479,-11.452919957286479,3.714521881312306,3.714521881312306,3.714521881312306,0.0,0.0,0.0,201.32055301872532
2019-09-16,209.36565308347048,170.64651115781612,251.4550172379521,209.36565308347048,209.36565308347048,0.5479169222987368,0.5479169222987368,0.5479169222987368,-4.491940101389643,-4.491940101389643,-4.491940101389643,5.03985702368838,5.03985702368838,5.03985702368838,0.0,0.0,0.0,209.9135700057692
2019-09-23,209.90238156381963,167.81277715501264,253.82135593012757,209.90238156381963,209.90238156381963,1.4757555858879061,1.4757555858879061,1.4757555858879061,-4.4919401013893205,-4.4919401013893205,-4.4919401013893205,5.967695687277227,5.967695687277227,5.967695687277227,0.0,0.0,0.0,211.37813714970753
