ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2004-01-03,143.0845971207362,76.65967457131642,202.62677466387248,143.0845971207362,143.0845971207362,-5.134532791526391,-5.134532791526391,-5.134532791526391,-8.7070952454129,-8.7070952454129,-8.7070952454129,3.5725624538865075,3.5725624538865075,3.5725624538865075,0.0,0.0,0.0,137.9500643292098
2004-01-26,143.25507437618162,163.71782229660445,289.0291692763649,143.25507437618162,143.25507437618162,83.74924648597344,83.74924648597344,83.74924648597344,-0.31387617895221287,-0.31387617895221287,-0.31387617895221287,84.06312266492566,84.06312266492566,84.06312266492566,0.0,0.0,0.0,227.00432086215505
2004-02-02,143.30695875827374,108.86119229052517,231.73033119460948,143.30695875827374,143.30695875827374,28.926550661004725,28.926550661004725,28.926550661004725,-0.31387617897174064,-0.31387617897174064,-0.31387617897174064,29.240426839976465,29.240426839976465,29.240426839976465,0.0,0.0,0.0,172.23350941927845
2004-03-05,143.54414450498047,71.08423868641478,195.5207352223784,143.54414450498047,143.54414450498047,-12.394969629983187,-12.394969629983187,-12.394969629983187,-32.34658391767532,-32.34658391767532,-32.34658391767532,19.95161428769213,19.95161428769213,19.95161428769213,0.0,0.0,0.0,131.14917487499727
2004-03-15,143.6182650508263,79.34266471399863,200.69760598854293,143.6182650508263,143.6182650508263,-4.861292816318242,-4.861292816318242,-4.861292816318242,-0.3138761789418194,-0.3138761789418194,-0.3138761789418194,-4.547416637376422,-4.547416637376422,-4.547416637376422,0.0,0.0,0.0,138.75697223450805
2004-03-22,143.67014943291838,69.2644869029797,188.8597779000049,143.67014943291838,143.67014943291838,-15.704052838123427,-15.704052838123427,-15.704052838123427,-0.31387617896134723,-0.31387617896134723,-0.31387617896134723,-15.39017665916208,-15.39017665916208,-15.39017665916208,0.0,0.0,0.0,127.96609659479495
2004-04-26,143.92957134337888,45.50991236338319,166.80468795501577,143.92957134337888,143.92957134337888,-36.79357784639182,-36.79357784639182,-36.79357784639182,-0.3138761789443178,-0.3138761789443178,-0.3138761789443178,-36.4797016674475,-36.4797016674475,-36.4797016674475,0.0,0.0,0.0,107.13599349698706
2004-05-04,143.98886778005553,61.2963898829796,187.36657188787913,143.98886778005553,143.98886778005553,-16.566986307953265,-16.566986307953265,-16.566986307953265,6.685839084600145,6.685839084600145,6.685839084600145,-23.252825392553405,-23.252825392553405,-23.252825392553405,0.0,0.0,0.0,127.42188147210226
2004-05-17,144.08522448965516,40.57585082950671,162.1771685243342,144.08522448965516,144.08522448965516,-41.38134638041151,-41.38134638041151,-41.38134638041151,-0.3138761790029046,-0.3138761790029046,-0.3138761790029046,-41.067470201408604,-41.067470201408604,-41.067470201408604,0.0,0.0,0.0,102.70387810924365
2004-05-24,144.13710887174724,21.651046747508236,143.2492196273246,144.13710887174724,144.13710887174724,-59.515419489305444,-59.515419489305444,-59.515419489305444,-0.3138761789488867,-0.3138761789488867,-0.3138761789488867,-59.201543310356556,-59.201543310356556,-59.201543310356556,0.0,0.0,0.0,84.6216893824418
2004-08-03,144.66336474674569,90.06788960285894,212.818708768514,144.66336474674569,144.66336474674569,6.445164735848811,6.445164735848811,6.445164735848811,6.685839084586935,6.685839084586935,6.685839084586935,-0.24067434873812354,-0.24067434873812354,-0.24067434873812354,0.0,0.0,0.0,151.1085294825945
2004-09-02,144.885726384069,93.43270322997463,213.17934124098434,144.885726384069,144.885726384069,7.840212360074278,7.840212360074278,7.840212360074278,13.578329934736425,13.578329934736425,13.578329934736425,-5.738117574662146,-5.738117574662146,-5.738117574662146,0.0,0.0,0.0,152.72593874414326
2004-12-04,145.57504745977118,63.94127982016652,190.65864561638188,145.57504745977118,145.57504745977118,-15.36572287041002,-15.36572287041002,-15.36572287041002,-8.70709524549888,-8.70709524549888,-8.70709524549888,-6.65862762491114,-6.65862762491114,-6.65862762491114,0.0,0.0,0.0,130.20932458936116
2005-02-05,146.0420068981501,89.81472875082859,208.78120258207,146.0420068981501,146.0420068981501,5.546031614660523,5.546031614660523,5.546031614660523,-8.707095245517294,-8.707095245517294,-8.707095245517294,14.253126860177817,14.253126860177817,14.253126860177817,0.0,0.0,0.0,151.58803851281064
