Name,Super,Price
"Espárrago verde fino LA JOYA, manojo 250 g",eroski,8.24
"Yema de espárrago mediana EROSKI, lata 135 g",eroski,11.16
"Espárrago corto grueso EROSKI, frasco 110 g",eroski,17.78
"Espárrago grueso IGP Navarra 6/9 piezas EROSKI, lata 125 g",eroski,14.45
"Yema de espárrago gruesa CARRETILLA, frasco 110 g",eroski,30.00
"Espárrago grueso 8/12 piezas CARRETILLA, frasco 205 g",eroski,31.36
"Yema de espárrago gruesa CARRETILLA, lata 135 g",eroski,13.61
"Yema de espárrago grueso EROSKI, frasco 110 g",eroski,26.59
"Espárrago verde grueso, manojo 300 g",eroski,21.36
"Esparrágo muy grueso 9/12 piezas EROSKI, frasco 325 g",eroski,10.83
"Espárrago grueso IGP Navarra 9/12 piezas EROSKI, frasco 205g",eroski,8.58
"Yema de espárrago mediana CARRETILLA, lata 135 g",eroski,26.78
"Tallo de espárrago EROSKI, lata 250 g",eroski,24.81
